Profile 1             Profile 2             Profile 3             Profile 4             Profile 5             Profile 6             
x       y           x       y           x       y           x       y           x       y           x       y           
-          -              185.8773  440.8359            -          -              -          -              -          -              -          -              
-          -              186.87664  764.77867            -          -              -          -              -          -              -          -              
-          -              187.87598  764.89206            -          -              -          -              -          -              -          -              
-          -              188.87532  821.98692            -          -              -          -              -          -              -          -              
-          -              189.87466  797.19364            -          -              -          -              -          -              -          -              
-          -              190.874  838.36419            -          -              -          -              -          -              -          -              
-          -              191.87334  813.55331            -          -              -          -              -          -              -          -              
-          -              192.87269  637.99698            -          -              -          -              -          -              -          -              
-          -              193.87203  587.89024            -          -              -          -              -          -              -          -              
-          -              194.87137  327.53787            -          -              -          -              -          -              -          -              
-          -              195.87071  269.33953            -          -              -          -              -          -              -          -              
-          -              196.87005  259.39301            -          -              -          -              -          -              -          -              
-          -              197.86939  258.01689            -          -              -          -              -          -              -          -              
-          -              198.86873  162.28991            -          -              -          -              -          -              -          -              
-          -              199.86807  121.75333            -          -              -          -              -          -              -          -              
